area,city,country,hotel_star_rating,latitude,longitude,mmt_location_rating,mmt_review_count,mmt_review_score,mmt_traveller_type_review_count,mmt_tripadvisor_count,property_address,property_id,property_name,property_type,room_types,site_review_rating,traveller_rating,uniq_id,Location,Hospitality,Facilities,Cleanliness,Value for Money,Food
Bhimtal,Nainital,Hotel,3,29.365122,79.551659,4.7,3.0,3.6,Families:2|Couples:1|Business:0|Solo:0|Friends:0,19.0,"Bhowali Road , Bhimtal Distt",200710251247428438&i=,"Shikha Inn Resort, Bhimtal, 20 kms from Nainital",Hotel,Hotel,0.0,Location:4.7/5 | Hospitality:3/5 | Facilities:3.7/5 | Cleanliness:3.7/5 | Value for Money:3/5 | Food:3.3/5,a1433d0e70238f484b402597a3e82c16,4.7,3.0,3.7,3.7,3.0,3.3
Bus Stand Road,Patiala,Hotel,1,30.34058,76.401074,3,3.0,2.1,Families:1|Couples:0|Business:0|Solo:0|Friends:0,3.0,"Bus Stand Road , Bus Stand Road",201409221434411660&i=,Kaka Hotel,Hotel,Hotel,0.0,Location:3/5 | Hospitality:2/5 | Facilities:2/5 | Cleanliness:2/5 | Value for Money:2/5 | Food:2/5,eb9e613738af551b05bd19f162b6cc87,3.0,2.0,2.0,2.0,2.0,2.0
Devguradia,Indore,Hotel,4,22.6476809,75.96106199999997,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Gram Jamniya Khurd, Kampel Road, Ahead of Devguradia Temple , Ahead of Devguradiya Temple",201604071719235814&i=,Crescent Resort and Spa Indore,Hotel,Hotel,0.0,0,850b4c7795de1c43149cea5cd8945739,0.0,0.0,0.0,0.0,0.0,0.0
gupt talkies ynroad,Indore,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,2.0,"51 new dewat road opp chandra , gupt talkies ynroad",20151216095111438&i=,Hotel Divya Palace,Hotel,Hotel,0.0,0,314dfc5d8463c4f9ebe024eab84a9aeb,0.0,0.0,0.0,0.0,0.0,0.0
bhimavaram,Bhimavaram,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Balusumoodi, , bhimavaram",201601071251532872&i=,Hotel Pranams,Hotel,Hotel,0.0,0,b28e336d25381efd318017f5b7757934,0.0,0.0,0.0,0.0,0.0,0.0
Behind Parijat Niwas,Satna,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Bamhanganwa, Rewa Road Satna , Behind Parijat Niwas",201501211747597309&i=,Hotel Apaar Residency,Hotel,Hotel,0.0,0,de82064fc27b39307d75d85d1e9416db,0.0,0.0,0.0,0.0,0.0,0.0
Chikmaglur,Chikmagalur,Hotel,1,13.386439,75.767546,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,185.0,"Erealla Survey No 275 No 275, DasaraHalli Grama, Dasara Halli Grama Chikmagalur , Chikmaglur",20141110233206927&i=,The Spectrum,Hotel,Hotel,0.0,0,ba854f43a0b38fd1db86d72a60f2b9ea,0.0,0.0,0.0,0.0,0.0,0.0
Murshidabad,Baharampur,Hotel,1,24.0989,88.2577,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"40, KN Road Berhampore, , Murshidabad",201503211726568305&i=,Hotel Sonali Bangla,Hotel,Hotel,0.0,0,ce385ca24167e5cb1082a1c0426f80b9,0.0,0.0,0.0,0.0,0.0,0.0
"Main Road,Delwara Road,Circuit House Area",MountAbu,Hotel,3,24.595142,72.720989,3.4,41.0,3.4,Families:22|Couples:17|Business:0|Solo:0|Friends:1,78.0,"Behind Gujarat Circuit House, Near Kumarwara , Near Kumarwada",201310251311224224&i=,Shiv Villa,Hotel,Hotel,0.0,Location:3.4/5 | Hospitality:3.4/5 | Facilities:3.3/5 | Cleanliness:3.4/5 | Value for Money:3.4/5 | Food:3.1/5,9fc7afd102a850bff3914a770f7fdf41,3.4,3.4,3.3,3.4,3.4,3.1
"Old Bus Stand, Khandwa",Khandwa,Hotel,3,21.8207,76.3526,4.2,6.0,4.2,Families:2|Couples:0|Business:1|Solo:0|Friends:0,9.0,"Plot no8, Loharinaka Road , Old Bus Stand, Khandwa",201501201638137039&i=,Hotel Castle Inn,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:4/5 | Facilities:4.2/5 | Cleanliness:4.5/5 | Value for Money:4/5 | Food:4.2/5,5519f42bad0fdd712086e7bb447bd1fd,4.2,4.0,4.2,4.5,4.0,4.2
Tirupati,Tirupati,Hotel,1,0.0,0.0,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,11.0,"12/1, Pk Layout, Opp Srinivasam Complex Main Gate, Tirupati ,",201411071104071969&i=,Hotel Sushma Bording and Lodging,Hotel,Hotel,0.0,0,218a1f9739902f4aa04faff98466c0ca,0.0,0.0,0.0,0.0,0.0,0.0
M G Road,Guwahati,Hotel,1,26.192823,91.752398,4.8,13.0,4.0,Families:3|Couples:4|Business:2|Solo:1|Friends:0,78.0,"152,MGRoad,Opp Sati Radhika Park Main Gate, , Uzanbazar Riverside",201410301211254575&i=,Riverview Guest House,Hotel,Hotel,0.0,Location:4.8/5 | Hospitality:3.9/5 | Facilities:3.8/5 | Cleanliness:3.9/5 | Value for Money:3.9/5 | Food:4.1/5,62118dee65c4d70e0d93b40ff0ca8e27,4.8,3.9,3.8,3.9,3.9,4.1
"Polo Ground,Central Mount Abu",MountAbu,Hotel,3,24.592593,72.715625,4,50.0,4.0,Families:14|Couples:11|Business:0|Solo:1|Friends:0,97.0,"Opp .Polo ground,Nr.Gurudwara , Nr Gurudwara",201104061428193239&i=,HG Grandiose Hotel,Hotel,Hotel,0.0,Location:4/5 | Hospitality:4/5 | Facilities:3.9/5 | Cleanliness:4.1/5 | Value for Money:3.9/5 | Food:3.9/5,bb0a7db591a6d1acc6a0fce5fe8b4833,4.0,4.0,3.9,4.1,3.9,3.9
Cantt Road,Dharamshala,Hotel,1,32.218159,76.318479,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,12.0,"Cantt Road, District Kangra , District Kangra",201111211311556714&i=,Hotel Pine Valley,Hotel,Hotel,0.0,0,7b3265e21ee82a1bff393e8ac0e9d928,0.0,0.0,0.0,0.0,0.0,0.0
G N B Road,Guwahati,Hotel,2,26.178655,91.756422,4.5,8.0,4.2,Families:5|Couples:0|Business:0|Solo:1|Friends:0,3.0,"Dr. B Barooah Road,Ulubari , Ulubari",201304301805285680&i=,Hotel Green Valley,Hotel,Hotel,0.0,Location:4.5/5 | Hospitality:4.2/5 | Facilities:3.8/5 | Cleanliness:4.4/5 | Value for Money:4.2/5 | Food:3.9/5,f521eed3f11143b48140136414e0b62c,4.5,4.2,3.8,4.4,4.2,3.9
NewTehri,NewTehri,Lodge,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Sursingdhar ,New Tehri ,",201512021042482496&i=,Himalayan Eco Lodge,Lodge,Lodge,0.0,0,3c1a326990b7fa7dfcf68ee2ccf89265,0.0,0.0,0.0,0.0,0.0,0.0
IDUKKI,Idduki,Hotel,1,9.60616,77.16684,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,4.0,"KUMILY THEKKADY BYEPASS ROAD, THEKKADY , IDUKKI",201411132311152964&i=,The Makam Residencey,Hotel,Hotel,0.0,0,7dcf48a26ffca6f86120499af8778a3d,0.0,0.0,0.0,0.0,0.0,0.0
Mcleodganj,Dharamshala,Hotel,1,32.247138,76.332308,4.5,4.0,3.9,Families:0|Couples:2|Business:0|Solo:0|Friends:0,0.0,"Bhagsu Nag, Mcleodganj , Mcleodganj",201509171451012919&i=,Turkish Cottage,Hotel,Hotel,0.0,Location:4.5/5 | Hospitality:3.8/5 | Facilities:3.8/5 | Cleanliness:4/5 | Value for Money:3.8/5 | Food:4/5,709489cc10ce1d4532c9fc592cfd9ecf,4.5,3.8,3.8,4.0,3.8,4.0
Nainital,Nainital,Hotel,2,29.364899,79.551246,3,2.0,3.3,Families:0|Couples:0|Business:0|Solo:0|Friends:0,16.0,"Bhowali Road ,",200708311116298461&i=,Shikha Inn Resort,Hotel,Hotel,0.0,Location:3/5 | Hospitality:0/5 | Facilities:3.5/5 | Cleanliness:4/5 | Value for Money:3.5/5 | Food:0/5,1661cc5cb92ac8bca82ee8758e821803,3.0,0.0,3.5,4.0,3.5,0.0
Mt Abu Rd,MountAbu,Hotel,1,0.0,0.0,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"Opp Chacha Museum, Shivaji Marg , Mt Abu Rd",201411061419314645&i=,Hotel Kiran Mount Abu,Hotel,Hotel,0.0,0,83ef8277bc14b8a353c47f59808e57bd,0.0,0.0,0.0,0.0,0.0,0.0
"OppAyurvedic Hospital, Udaipur",Udaipur,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"34,Moti Chohta, , OppAyurvedic Hospital, Udaipur",201512301752538381&i=,FM Rooms Udaipur,Hotel,Hotel,0.0,0,2165a68d5b5914c5276518e5e98ea5ca,0.0,0.0,0.0,0.0,0.0,0.0
"Bhimtal Road, Bhowali,Nainital",Nainital,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Near Naini Bend, 2 kms , Bhimtal Road, Bhowali,Nainital",201512171351031398&i=,hotel avlokhan,Hotel,Hotel,0.0,0,b20ccca100ca7dda4fc858f206ce17fc,0.0,0.0,0.0,0.0,0.0,0.0
Thanniruhalla,Hassan,Hotel,3,12.995371,76.080464,4.3,30.0,4.3,Families:20|Couples:4|Business:0|Solo:1|Friends:0,57.0,"Tanneeruhalla, B.M. Road , B.M. Road",201310081552309966&i=,Hotel Mayura International,Hotel,Hotel,0.0,Location:4.3/5 | Hospitality:4.4/5 | Facilities:4.2/5 | Cleanliness:4.4/5 | Value for Money:4.4/5 | Food:4.4/5,9588e536d629b58c89ff55eb7c22a327,4.3,4.4,4.2,4.4,4.4,4.4
Saputara,Saputara,Hotel,3,20.526017,73.751857,3.6,32.0,3.5,Families:21|Couples:4|Business:0|Solo:0|Friends:1,15.0,"Uday Hill Resort, Saputara - Nasik Road, Hatgad Fort Area , Near Yograj Holiday Homes",20140912161920818&i=,Uday Hill Resort,Hotel,Hotel,0.0,Location:3.6/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.8/5 | Value for Money:3.2/5 | Food:3.2/5,eb9cb82d81fcc0e56f99f5ce3021b046,3.6,3.2,3.2,3.8,3.2,3.2
Kalaji Goraji,Udaipur,Hotel,1,24.576246,73.691181,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"No3-4, Lake Palace Rd, Kalaji Goraji, Udaipur ,",201411261929293135&i=,Hotel Neelam Palace,Hotel,Hotel,0.0,0,0ff2996352802ea399fff6583a7cdc5d,0.0,0.0,0.0,0.0,0.0,0.0
Bhimtal,Nainital,Hotel,4,29.361723,79.541144,3.6,27.0,3.8,Families:19|Couples:7|Business:0|Solo:0|Friends:0,56.0,"Nal Damyanti Tal Road, Nishola Village , Bhimtal",201403241221064391&i=,Aamod Resort - Bhimtal,Hotel,Hotel,0.0,Location:3.6/5 | Hospitality:3.9/5 | Facilities:3.9/5 | Cleanliness:4.1/5 | Value for Money:3.9/5 | Food:3.8/5,61d522c22fe082cd3f78853c606e5a5f,3.6,3.9,3.9,4.1,3.9,3.8
Teh-Dharamshala,Dharamshala,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"DHARAMKOT MCLOEDGANJ , Teh-Dharamshala",201501062115507070&i=,PAUL HOUSE,Hotel,Hotel,0.0,0,cb9bbae43897fe8b1ffb80f277885718,0.0,0.0,0.0,0.0,0.0,0.0
"Near GOVERDHAN SAGAR LAKE,",Udaipur,Hotel,2,24.535442,73.681425,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"582-583, PENCILWALI BUILDG, , Near GOVERDHAN SAGAR LAKE,",201509301626219851&i=,Singhi Villa Guest House,Hotel,Hotel,0.0,0,d2631c16b343205e38717ddeba1e5b51,0.0,0.0,0.0,0.0,0.0,0.0
Ramgarh,Nainital,Hotel,2,29.4471236,79.5621,3,1.0,2.2,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"Gagar, Ramgarh, Nainital ,",200701251431127893&i=,Kumaon Roop Resort- Ramgarh,Hotel,Hotel,0.0,Location:3/5 | Hospitality:0/5 | Facilities:2/5 | Cleanliness:3/5 | Value for Money:3/5 | Food:0/5,8081677d14d840eca7a39534612c6dcc,3.0,0.0,2.0,3.0,3.0,0.0
Near Platform 4 Railway Station,Gwalior,Hotel,1,26.215473,78.176453,4.7,6.0,4.5,Families:2|Couples:1|Business:2|Solo:0|Friends:1,16.0,"N-7 Gandhi Nagar , Near Platform 4 Railway Station",201407071522097482&i=,Gulmohar Guest House,Hotel,Hotel,0.0,Location:4.7/5 | Hospitality:4.7/5 | Facilities:4.2/5 | Cleanliness:4.5/5 | Value for Money:4.7/5 | Food:3.8/5,00791916d77c473dfdd19c2079f624c7,4.7,4.7,4.2,4.5,4.7,3.8
Dharamshala,Dharamshala,Hotel,1,32.23864,76.323527,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,21.0,"Mcloedganj, Bhagsunag, Meleodganj ,",201410311912144659&i=,Hotel Buddhas Valley,Hotel,Hotel,0.0,0,c37ede56663e35a316764e02b26f98ce,0.0,0.0,0.0,0.0,0.0,0.0
Kashipur,Kashipur,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Bazpur Road, , Kashipur",201512301527063333&i=,Hotel Business Inn,Hotel,Hotel,0.0,0,a4cf610b8d46f4446686052f2b9b4d86,0.0,0.0,0.0,0.0,0.0,0.0
Nabin Nagar,Guwahati,Hotel,2,26.166284,91.77725599999997,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Ashirwad Enclave,Lakhimi Path,Jonali,Zoo Road,Guwahati. , Lakhimi Path, Jonali, Guwahati",201602011428034898&i=,Ashirwad Homestay,Hotel,Hotel,0.0,0,6c1f97e6795c0651f3bb4423e5e94191,0.0,0.0,0.0,0.0,0.0,0.0
Churu,Churu,Hotel,1,28.301673,74.969177,4,1.0,4.6,Families:1|Couples:0|Business:0|Solo:0|Friends:0,91.0,"Behind Jain Market ,Churu Shekhavati , Shekhavati",201308261949188555&i=,Hotel Malji Ka Kamra,Hotel,Hotel,0.0,Location:4/5 | Hospitality:5/5 | Facilities:4/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:5/5,df6bd3fa3a6d78c31a6ccf2d9ffcd2a5,4.0,5.0,4.0,5.0,5.0,5.0
Nainital,Nainital,Hotel,1,29.395323,79.458979,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,14.0,"Birla Chungi Chauraha, View point, Nainital ,",201411251838527418&i=,Snow View Huts,Hotel,Hotel,0.0,0,58f06140c0f66355ac044dec7eee54fe,0.0,0.0,0.0,0.0,0.0,0.0
Bhagsunag,Dharamshala,Hotel,2,32.243818,76.332525,4.2,4.0,3.5,Families:2|Couples:1|Business:0|Solo:0|Friends:0,1.0,"Bhagsunag, Opp Main Parking Stand , Bhagsunag, Mcleodganj",201210241448091478&i=,Vikrant Hotel & Restaurant,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.2/5 | Food:4/5,a066779153b3bc3a93ffc54dbf99fdc4,4.2,3.2,3.2,3.2,3.2,4.0
malan pur,Gwalior,Hotel,3,26.280869,78.200239,4.2,22.0,4.0,Families:10|Couples:2|Business:1|Solo:2|Friends:0,83.0,"Link Road, New Bus Stand Road ,",200701211216441736&i=,Hotel Gwalior Regency,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:4/5 | Facilities:3.9/5 | Cleanliness:4/5 | Value for Money:4.1/5 | Food:4.1/5,879ed7787870b6ba6a818ad40aa8cc5e,4.2,4.0,3.9,4.0,4.1,4.1
Near Little Flower School,Kohima,Hotel,1,0.0,0.0,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"NMH-P/C 55 Aradura Hill , Near Little Flower School",201506021620337164&i=,The Classic Aradura Inn,Hotel,Hotel,0.0,0,d6e134262fa6e04ba819b88ff03a9f25,0.0,0.0,0.0,0.0,0.0,0.0
Mallital,Nainital,Hotel,5,29.396467,79.444232,3.5,14.0,3.8,Families:6|Couples:1|Business:0|Solo:0|Friends:0,116.0,"Mallital, , Mallital",200701241720383058&i=,Arif Castles,Hotel,Hotel,0.0,Location:3.5/5 | Hospitality:4.1/5 | Facilities:3.9/5 | Cleanliness:3.8/5 | Value for Money:3.9/5 | Food:3.4/5,96b599721c9e96e2d46f501467ba45cd,3.5,4.1,3.9,3.8,3.9,3.4
PO Mehragaon,Nainital,Hotel,1,29.3659,79.535,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,62.0,"Village - Bhakgtura , PO Mehragaon",201503301450423544&i=,Green Glen,Hotel,Hotel,0.0,0,b145505ca60cd514e8e5e8f05d12b6a1,0.0,0.0,0.0,0.0,0.0,0.0
Mt Abu Rd,MountAbu,Hotel,3,24.582807,72.722581,3.6,5.0,2.6,Families:3|Couples:2|Business:0|Solo:0|Friends:0,62.0,"St Marry road, mount abu ,",201409131639084093&i=,Royale Palace,Hotel,Hotel,0.0,Location:3.6/5 | Hospitality:2.8/5 | Facilities:2.2/5 | Cleanliness:3.2/5 | Value for Money:2.8/5 | Food:2/5,f24f4c900915ff15a17c2314d0f763b0,3.6,2.8,2.2,3.2,2.8,2.0
"Plot No-1,Bhuvana By Pass Road",Udaipur,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Plot No-1,Bhuvana By Pass Road , Plot No-1,Bhuvana By Pass Road",201601221344571581&i=,Hotel Riddhi Inn,Hotel,Hotel,0.0,0,0b88e1bcd8e4b26963ab6591660606ff,0.0,0.0,0.0,0.0,0.0,0.0
"Somajiguda,Raj Bhawan Road,Central Hyderabad",WeekendGetawaysAroundHyderabad,Hotel,5,17.423613,78.462219,4.5,220.0,4.2,Families:62|Couples:56|Business:38|Solo:15|Friends:6,815.0,"22 Rajbhavan Road Somajiguda , Somajiguda",201003121612069677&i=,The Park Hyderabad,Hotel,Hotel,0.0,Location:4.5/5 | Hospitality:4/5 | Facilities:4.1/5 | Cleanliness:4.3/5 | Value for Money:4/5 | Food:4.1/5,358388e7ad356618f65669ba76a57b95,4.5,4.0,4.1,4.3,4.0,4.1
kashipur,Kashipur,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"NH 74, Vaishali Colony, Ujjain , kashipur",201601150930344801&i=,Hotel royal inn,Hotel,Hotel,0.0,0,518ee85c38d5edca346a8475a776b769,0.0,0.0,0.0,0.0,0.0,0.0
"Begumpet,Chikoti Gardens,North Hyderabad",WeekendGetawaysAroundHyderabad,Hotel,3,17.444003,78.466197,4.2,29.0,4.1,Families:5|Couples:1|Business:3|Solo:4|Friends:0,37.0,"1-10-44/2, Chikoti Gardens, Begumpet , Chikoti Gardens",200701151541389442&i=,Kamat Lingapur Hotel,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:4.2/5 | Facilities:3.9/5 | Cleanliness:4.3/5 | Value for Money:4.2/5 | Food:4/5,e58e47bb925d90212b2942f5b799957b,4.2,4.2,3.9,4.3,4.2,4.0
Renigunta Rd,Tirupati,Hotel,4,13.625793,79.431632,4.5,257.0,4.3,Families:116|Couples:37|Business:4|Solo:9|Friends:2,272.0,"#45, Near Ramanuja Circle, Renigunta Road , Tirupati",200701151812134749&i=,Bliss Hotel,Hotel,Hotel,0.0,Location:4.5/5 | Hospitality:4.4/5 | Facilities:4.3/5 | Cleanliness:4.3/5 | Value for Money:4.2/5 | Food:4.4/5,d7734a4875f5452b85f0487963834fc3,4.5,4.4,4.3,4.3,4.2,4.4
Kollam,Kollam,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Pallimukku homestay, Kollam ,",201411121442302153&i=,Pallimukku homestay,Hotel,Hotel,0.0,0,486caa91b5e8f10debbbfc000cda4f4d,0.0,0.0,0.0,0.0,0.0,0.0
Opp  Bhimas Deluxe,Tirupati,Hotel,1,13.629596,79.416871,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"150, south mada steet , Opp Bhimas Deluxe",201412261525262113&i=,SRI MEENAKSHI RESIDENCY,Hotel,Hotel,0.0,0,36d48eb04fb3963ba41f436cac016680,0.0,0.0,0.0,0.0,0.0,0.0
Zoo Road,Nainital,Hotel,3,29.382749,79.464581,4.2,120.0,3.8,Families:34|Couples:9|Business:1|Solo:1|Friends:1,138.0,"Near Mall, Tallital , Zoo Road",200703201701435638&i=,Welcome Park,Hotel,Hotel,0.0,Location:4.2/5 | Hospitality:4.1/5 | Facilities:3.7/5 | Cleanliness:3.8/5 | Value for Money:3.7/5 | Food:4/5,5724b861c4c97c875fc01c2dfd6fe7dc,4.2,4.1,3.7,3.8,3.7,4.0
G N B Road,Guwahati,Lodge,1,26.18497,91.747367,3,2.0,3.1,Families:0|Couples:0|Business:0|Solo:1|Friends:0,0.0,"G.N.B. Road, Don Bosco Chariali, Pan Bazar , Don Bosco Chariali",201111211159118063&i=,Star Lodge,Lodge,Lodge,0.0,Location:3/5 | Hospitality:3.5/5 | Facilities:3.5/5 | Cleanliness:2.5/5 | Value for Money:3.5/5 | Food:3/5,b09c7db635c10197facd67463cdcd20d,3.0,3.5,3.5,2.5,3.5,3.0
Nainital,Nainital,Hotel,1,29.382597,79.464409,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,31.0,"Sufolk fall, Zoo Road Tallital , Nainital",201412311629402645&i=,hotel prashant,Hotel,Hotel,0.0,0,93b6211c9e628a5721851506f3faf699,0.0,0.0,0.0,0.0,0.0,0.0
Udaipur,Udaipur,Hotel,1,24.5809,73.6828,5,1.0,4.8,Families:0|Couples:1|Business:0|Solo:0|Friends:0,33.0,"18, Panduwari near Gangaurghat ,",201410131212526449&i=,Harsh Vilas Guest House,Hotel,Hotel,0.0,Location:5/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:4/5 | Value for Money:5/5 | Food:5/5,7913492ab76b72d06990ce5f915e7bc7,5.0,5.0,5.0,4.0,5.0,5.0
Nubra Valley,NubraValley,Hotel,1,34.585531,77.47735,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"Apple Nubra Chakzot-Hunder , Nubra Valley",201501131648515827&i=,Apple Cottage,Hotel,Hotel,0.0,0,1db9ff6923fdbe606e33d7a4ee51b029,0.0,0.0,0.0,0.0,0.0,0.0
Dharamshala,Dharamshala,Hotel,1,0.0,0.0,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"Dharamshala ,",201508181159096807&i=,Holiday Villa,Hotel,Hotel,0.0,0,3a2f7444d99b73aef516f723f06067a6,0.0,0.0,0.0,0.0,0.0,0.0
"Tallital, Nainital",Nainital,Hotel,1,29.37593,79.463853,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"Jagdish Sah rooms and cottages , Tallital, Nainital",201501300922542195&i=,MOHINI INN NAINITAL,Hotel,Hotel,0.0,0,05985e0110162656541ae26b081e5894,0.0,0.0,0.0,0.0,0.0,0.0
Madurai,Madurai,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Sivaganga Road ,",201512261806345390&i=,Royal Garden,Hotel,Hotel,0.0,0,262807e0f355dec1249b7b93771b365b,0.0,0.0,0.0,0.0,0.0,0.0
Kathgodam,Nainital,Hotel,2,29.3957,79.4431,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,7.0,"Armadale Compound, Jahangirabad Palace , Mallital",201304271159319816&i=,Hotel Relax Inn,Hotel,Hotel,0.0,0,0c06c9d1c62e2ec6b51e11a7773c3435,0.0,0.0,0.0,0.0,0.0,0.0
Muvattupuzha,Muvattupuzha,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Prasad Road, East Kadathy Mrkt , Muvattupuzha",201601181906562213&i=,Wetzler Hotels and Resorts,Hotel,Hotel,0.0,0,c3cf29a605bdc3f09fddc109d9661550,0.0,0.0,0.0,0.0,0.0,0.0
Ambaji,Ambaji,Hotel,2,24.332569,72.847749,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"OPP BUS STAND , AMBAJI TEMPLE ROAD",201512252017345666&i=,Hotel Ellora by Sky Stays,Hotel,Hotel,0.0,0,adc5a2d1153094c7ba5eb4f6a87a8227,0.0,0.0,0.0,0.0,0.0,0.0
Dapoli,Dapoli,Hotel,1,17.738318,73.200362,4.8,5.0,4.9,Families:4|Couples:1|Business:0|Solo:0|Friends:0,0.0,"Jaalgaon , Dapoli",201509151503267483&i=,Chira Meadows Eco Resort,Hotel,Hotel,0.0,Location:4.8/5 | Hospitality:5/5 | Facilities:5/5 | Cleanliness:5/5 | Value for Money:5/5 | Food:4.8/5,4268c62d20c2bbe82338c2b2f1cfc308,4.8,5.0,5.0,5.0,5.0,4.8
"New Bus Stand, Kangra",Dharamshala,Hotel,3,32.110225,76.278195,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"opp bus stand kangra , kangra highway",201412101416098671&i=,Hotel Sidharth,Hotel,Hotel,0.0,0,a9e63f8126640cdf79078021bd2ad2e2,0.0,0.0,0.0,0.0,0.0,0.0
"Near DwarkadishTemple , Dwarka",Dwarika,Hotel,1,0.0,0.0,0,0.0,0.0,Families:0|Couples:0|Business:0|Solo:0|Friends:0,0.0,"Shivrajsinh Road , , Near DwarkadishTemple , Dwarka",20160127120958389&i=,Hotel Damji,Hotel,Hotel,0.0,0,1623f96d1b913cbaaf16bd9f16846c6e,0.0,0.0,0.0,0.0,0.0,0.0
"NH-2 Etah Road,, Shikohabad",Firozabad,Hotel,1,0.0,0.0,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"NH-2 Etah Road,, Shikohabad , NH-2 Etah Road,, Shikohabad",201512281720294842&i=,Green Park Hotel,Hotel,Hotel,0.0,0,a81188fd30fcb9dcebcca2231de7840c,0.0,0.0,0.0,0.0,0.0,0.0
Pithampur,Indore,Hotel,2,22.630185,75.611115,3.5,2.0,2.2,Families:0|Couples:0|Business:1|Solo:0|Friends:0,1.0,"Sector-3, Sagar Kuti Chaurah, Opp. AVTEC Ltd. Pithampur , Opp. AVTEC Ltd. Pithampur",201109011456467054&i=,Monarch Hotel,Hotel,Hotel,0.0,Location:3.5/5 | Hospitality:3/5 | Facilities:1.5/5 | Cleanliness:2/5 | Value for Money:2/5 | Food:3/5,bc7b7af2a8a80c06b428fd0eeef690e7,3.5,3.0,1.5,2.0,2.0,3.0
"Dharamshala, Himachal Pradesh",Dharamshala,Hotel,1,32.1943,76.3462,0,0.0,0.0,Families:|Couples:|Business:|Solo:|Friends:,0.0,"Yol Road, State Highway 17, , Dharamshala, Himachal Pradesh",201412101349091100&i=,Dharamshala Paradise,Hotel,Hotel,0.0,0,6c4b35ea810504740971817ee9d9fdb1,0.0,0.0,0.0,0.0,0.0,0.0
